0,1,2,3
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 2, 'net_seed': 42000, 'image_reward': array([ 1.15402579, -0.86679286]), 'hps': array([0.33666992, 0.28759766]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 2, 'net_seed': 42001, 'image_reward': array([-0.39081934, -1.40873182]), 'hps': array([0.31860352, 0.2331543 ]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 2, 'net_seed': 42002, 'image_reward': array([ 0.64166087, -1.96749508]), 'hps': array([0.3203125 , 0.23327637]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 2, 'net_seed': 42003, 'image_reward': array([-0.60035992, -1.74039423]), 'hps': array([0.29418945, 0.24243164]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 2, 'net_seed': 43000, 'image_reward': array([ 1.3836627 , -2.14493275]), 'hps': array([0.32617188, 0.19067383]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 2, 'net_seed': 43001, 'image_reward': array([-0.29060915, -0.5244804 ]), 'hps': array([0.31933594, 0.28149414]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 2, 'net_seed': 43002, 'image_reward': array([ 1.70423365, -0.73674995]), 'hps': array([0.31298828, 0.26025391]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 2, 'net_seed': 43003, 'image_reward': array([ 1.40883458, -1.55264008]), 'hps': array([0.29833984, 0.28637695]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 2, 'net_seed': 44000, 'image_reward': array([-0.44756976, -0.84433848]), 'hps': array([0.32177734, 0.3059082 ]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 2, 'net_seed': 44001, 'image_reward': array([ 0.15829147, -2.0472033 ]), 'hps': array([0.27758789, 0.21582031]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 2, 'net_seed': 44002, 'image_reward': array([0.2652033 , 0.16599885]), 'hps': array([0.26806641, 0.32348633]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 2, 'net_seed': 44003, 'image_reward': array([0.70667565, 0.49345201]), 'hps': array([0.32348633, 0.2902832 ]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 2, 'net_seed': 45000, 'image_reward': array([ 0.33214387, -2.02553391]), 'hps': array([0.28930664, 0.21826172]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 2, 'net_seed': 45001, 'image_reward': array([ 0.19674218, -0.32958043]), 'hps': array([0.32104492, 0.32373047]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 2, 'net_seed': 45002, 'image_reward': array([-0.40635318, -0.67157465]), 'hps': array([0.2824707 , 0.27075195]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 2, 'net_seed': 45003, 'image_reward': array([-0.60065424, -2.15878797]), 'hps': array([0.28369141, 0.19250488]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 2, 'net_seed': 46000, 'image_reward': array([ 0.65934688, -2.02751732]), 'hps': array([0.27172852, 0.20898438]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 2, 'net_seed': 46001, 'image_reward': array([-0.51160598, -0.7788648 ]), 'hps': array([0.29467773, 0.22497559]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 2, 'net_seed': 46002, 'image_reward': array([ 0.50024861, -2.11047935]), 'hps': array([0.29858398, 0.19543457]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 2, 'net_seed': 46003, 'image_reward': array([ 0.73156202, -1.98257887]), 'hps': array([0.31445312, 0.20874023]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 4, 'net_seed': 42000, 'image_reward': array([0.60163683, 0.60163683, 0.60163683, 0.60163683]), 'hps': array([0.27856445, 0.27856445, 0.27856445, 0.27856445]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 4, 'net_seed': 42001, 'image_reward': array([0.53105122, 0.53105122, 0.53105122, 0.19260865]), 'hps': array([0.30419922, 0.30419922, 0.30419922, 0.30810547]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 4, 'net_seed': 42002, 'image_reward': array([1.06493163, 1.05401611, 0.93015331, 0.88377756]), 'hps': array([0.32714844, 0.32983398, 0.33398438, 0.33496094]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 42, 'num_particles': 4, 'net_seed': 42003, 'image_reward': array([-0.15600921, -0.59597701, -1.68191159, -2.15351391]), 'hps': array([0.30444336, 0.29467773, 0.24389648, 0.21166992]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 4, 'net_seed': 43000, 'image_reward': array([1.3289746 , 1.3058393 , 1.26141298, 1.11314011]), 'hps': array([0.32055664, 0.33398438, 0.31445312, 0.31494141]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 4, 'net_seed': 43001, 'image_reward': array([1.51673043, 1.44411743, 1.43131232, 1.37582922]), 'hps': array([0.29370117, 0.29833984, 0.29589844, 0.29174805]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 4, 'net_seed': 43002, 'image_reward': array([0.83958882, 0.60365397, 0.58800781, 0.35557863]), 'hps': array([0.30249023, 0.31347656, 0.3059082 , 0.31518555]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 43, 'num_particles': 4, 'net_seed': 43003, 'image_reward': array([ 1.3887856 , -0.7839371 , -1.55742669, -2.18578196]), 'hps': array([0.29833984, 0.31787109, 0.28613281, 0.22338867]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 4, 'net_seed': 44000, 'image_reward': array([0.87729055, 0.87729055, 0.87729055, 0.87729055]), 'hps': array([0.30932617, 0.30932617, 0.30932617, 0.30932617]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 4, 'net_seed': 44001, 'image_reward': array([1.42950165, 1.41966081, 1.33859086, 1.27848613]), 'hps': array([0.30224609, 0.30395508, 0.30078125, 0.29907227]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 4, 'net_seed': 44002, 'image_reward': array([0.55995667, 0.55995667, 0.55995667, 0.55995667]), 'hps': array([0.31274414, 0.31274414, 0.31274414, 0.31274414]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 44, 'num_particles': 4, 'net_seed': 44003, 'image_reward': array([ 0.74580818,  0.70327044,  0.46096113, -1.48323798]), 'hps': array([0.32080078, 0.32299805, 0.29150391, 0.23120117]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 4, 'net_seed': 45000, 'image_reward': array([1.58718669, 1.53044248, 1.4862088 , 1.45533276]), 'hps': array([0.30419922, 0.30957031, 0.29760742, 0.3034668 ]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 4, 'net_seed': 45001, 'image_reward': array([-0.24048333, -0.26660547, -0.29007205, -0.35071179]), 'hps': array([0.32763672, 0.32226562, 0.3190918 , 0.31787109]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 4, 'net_seed': 45002, 'image_reward': array([-0.68414861, -0.70845449, -0.72431809, -0.75689059]), 'hps': array([0.27978516, 0.27880859, 0.28125   , 0.28198242]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 45, 'num_particles': 4, 'net_seed': 45003, 'image_reward': array([ 1.05655658,  0.69065273, -0.60142666, -2.15360308]), 'hps': array([0.29614258, 0.31738281, 0.28710938, 0.19262695]), 'potential_type': 'base'}"
"{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 4, 'net_seed': 46000, 'image_reward': array([1.01246011, 0.99502093, 0.89648581, 0.77899969]), 'hps': array([0.27294922, 0.26757812, 0.27832031, 0.26196289]), 'potential_type': 'max'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 4, 'net_seed': 46001, 'image_reward': array([-0.37287736, -0.37570268, -0.43862152, -0.47919017]), 'hps': array([0.32324219, 0.33862305, 0.34057617, 0.32226562]), 'potential_type': 'instant'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 4, 'net_seed': 46002, 'image_reward': array([0.74491942, 0.74491942, 0.74491942, 0.74491942]), 'hps': array([0.30126953, 0.30126953, 0.30126953, 0.30126953]), 'potential_type': 'add'}","{'prompt': 'a photo of a brown knife and a blue donut', 'seed': 46, 'num_particles': 4, 'net_seed': 46003, 'image_reward': array([ 1.5363946 ,  0.71553046, -0.32615688, -1.9913969 ]), 'hps': array([0.31469727, 0.31469727, 0.30664062, 0.20959473]), 'potential_type': 'base'}"
